id,full name,formdate,jan,feb,mar,apr,may,jun,jul
1,Colaptes campestroides,22,26,7,29,19,2,24,12
2,Phalacrocorax carbo,22,12,24,3,14,6,22,13
3,Kobus defassa,22,9,21,19,9,5,23,19
4,Felis serval,22,8,12,19,2,19,13,22
5,Dusicyon thous,22,27,19,27,30,7,7,20
6,Merops bullockoides,22,10,13,3,1,27,12,12
7,Lamprotornis superbus,22,21,11,3,9,26,23,10
8,Pandon haliaetus,22,11,5,10,8,1,20,9
9,Herpestes javanicus,22,11,19,13,11,20,3,11
10,Canis aureus,22,9,1,24,2,9,22,17
11,Fulica cristata,22,6,2,29,3,16,31,10
12,Pycnonotus nigricans,22,29,23,12,16,10,18,9
13,Cordylus giganteus,22,13,6,4,11,5,27,19
14,Tauraco porphyrelophus,22,13,30,16,6,29,4,16
15,Macaca mulatta,22,29,6,1,1,11,6,7
16,Zenaida asiatica,22,10,1,5,12,19,10,5
17,Echimys chrysurus,22,22,25,10,13,28,14,21
18,Neophron percnopterus,22,4,16,29,26,28,7,6
19,Phaethon aethereus,22,9,28,9,4,28,27,13
20,Tiliqua scincoides,22,11,29,7,14,19,28,26
21,Oryx gazella callotis,22,25,26,10,22,8,15,6
22,Colaptes campestroides,22,13,8,5,14,19,31,20
23,Panthera leo persica,22,19,14,14,9,27,26,3
24,Dasypus novemcinctus,22,2,27,30,16,11,10,23
25,Zonotrichia capensis,22,22,13,23,30,11,15,30
26,Butorides striatus,22,9,27,15,11,2,27,27
27,Neotoma sp.,22,8,26,8,13,9,12,15
28,Dicrostonyx groenlandicus,22,29,11,4,16,27,22,12
29,Martes pennanti,22,25,3,6,16,31,7,8
30,Colaptes campestroides,22,28,23,4,6,30,11,9
31,Pycnonotus nigricans,22,24,31,23,1,4,19,13
32,Hystrix cristata,22,29,23,27,14,2,15,30
33,Panthera onca,22,15,20,7,23,13,10,8
34,Tockus erythrorhyncus,22,25,21,6,23,1,24,3
35,Ammospermophilus nelsoni,22,21,4,26,16,8,4,27
36,Colobus guerza,22,15,13,16,14,17,12,5
37,Limnocorax flavirostra,22,21,30,24,4,3,27,11
38,Dasypus novemcinctus,22,12,13,1,26,18,24,7
39,Mirounga leonina,22,1,30,6,14,4,7,5
40,Bucorvus leadbeateri,22,12,19,27,4,7,26,31
41,Sarcorhamphus papa,22,10,29,27,15,30,18,26
42,Neotis denhami,22,21,1,26,12,23,16,10
43,Dasypus septemcincus,22,17,22,24,12,5,12,22
44,Hippotragus equinus,22,22,7,26,3,22,12,19
45,Pan troglodytes,22,1,12,4,31,1,28,21
46,Sarkidornis melanotos,22,13,8,23,3,10,1,11
47,Streptopelia senegalensis,22,15,12,1,20,5,1,8
48,Aonyx capensis,22,3,29,7,29,16,31,11
49,Hymenolaimus malacorhynchus,22,28,4,13,30,13,10,29
50,Corvus albus,22,4,14,13,14,3,26,16
51,Crotalus triseriatus,22,12,31,14,31,3,13,13
52,Caiman crocodilus,22,14,4,11,12,8,29,27
53,Irania gutteralis,22,29,17,13,14,1,29,12
54,Lamprotornis nitens,22,31,22,15,30,8,24,30
55,Petaurus breviceps,22,6,19,15,6,27,5,3
56,Psittacula krameri,22,22,7,11,28,16,17,10
57,Diceros bicornis,22,12,1,12,28,9,7,7
58,Amblyrhynchus cristatus,22,27,9,9,9,6,16,24
59,Agouti paca,22,13,7,20,28,27,11,28
60,Cervus duvauceli,22,25,25,1,24,13,28,14
61,Ephipplorhynchus senegalensis,22,13,29,10,26,4,7,13
62,Terrapene carolina,22,6,23,23,19,3,4,3
63,Amphibolurus barbatus,22,12,14,9,20,23,26,27
64,Scolopax minor,22,22,12,5,5,31,28,4
65,Suricata suricatta,22,12,13,23,7,25,18,15
66,Choloepus hoffmani,22,30,9,17,21,1,16,30
67,Vanessa indica,22,18,1,10,20,12,30,19
68,Hystrix indica,22,15,17,15,5,11,12,24
69,Acanthaster planci,22,21,11,9,16,27,27,9
70,Fulica cristata,22,6,20,23,18,20,16,8
71,Varanus salvator,22,4,28,31,17,17,28,10
72,Carduelis uropygialis,22,6,23,2,17,21,26,12
73,Sciurus niger,22,16,16,13,1,5,15,1
74,Mungos mungo,22,15,28,8,15,16,28,21
75,Alouatta seniculus,22,20,26,27,4,14,7,25
76,Butorides striatus,22,19,26,7,1,2,1,5
77,Mazama gouazoubira,22,28,21,20,2,20,21,1
78,Hystrix cristata,22,24,4,29,13,19,21,9
79,Galictis vittata,22,25,31,31,20,28,24,19
80,Trichosurus vulpecula,22,5,8,5,25,25,18,25
81,Aegypius tracheliotus,22,10,6,7,26,29,4,30
82,Colaptes campestroides,22,23,14,4,26,11,13,25
83,Cordylus giganteus,22,30,1,5,25,15,22,12
84,Pelecanus conspicillatus,22,9,10,16,11,10,30,27
85,Pteropus rufus,22,22,28,17,14,18,13,11
86,Lybius torquatus,22,22,31,18,7,28,31,12
87,Felis chaus,22,15,5,21,19,14,17,18
88,Genetta genetta,22,15,20,11,31,8,9,10
89,Pseudocheirus peregrinus,22,29,21,22,14,2,14,7
90,Papilio canadensis,22,11,8,15,29,11,24,31
91,Graspus graspus,22,29,6,22,4,15,16,30
92,Procyon cancrivorus,22,28,21,15,20,23,13,5
93,Corallus hortulanus cooki,22,21,25,18,23,27,6,5
94,Marmota monax,22,6,17,15,10,5,13,12
95,Tiliqua scincoides,22,6,12,31,11,9,2,28
96,Chlidonias leucopterus,22,3,25,7,11,31,17,19
97,Conolophus subcristatus,22,13,24,10,13,28,5,24
98,Nyctereutes procyonoides,22,30,28,17,4,13,21,8
99,Taxidea taxus,22,17,13,14,29,30,1,4
100,Zalophus californicus,22,1,11,9,30,14,13,14
101,Haematopus ater,22,29,23,23,20,3,12,24
102,Leprocaulinus vipera,22,23,2,31,18,11,25,29
103,Lepilemur rufescens,22,3,9,17,11,20,26,9
104,Cochlearius cochlearius,22,25,12,18,24,18,5,14
105,Choloepus hoffmani,22,11,16,2,12,2,14,6
106,Spermophilus lateralis,22,17,29,24,30,4,9,13
107,Crocodylus niloticus,22,5,16,6,8,5,11,26
108,Anastomus oscitans,22,19,12,9,4,14,26,23
109,Casmerodius albus,22,28,8,3,17,3,23,31
110,Anas bahamensis,22,10,2,9,18,11,18,15
111,Coluber constrictor,22,20,29,1,20,10,22,13
112,Grus rubicundus,22,14,8,22,9,19,6,23
113,Butorides striatus,22,31,13,23,23,7,17,31
114,Paradoxurus hermaphroditus,22,28,22,21,1,17,21,14
115,Leptoptilos crumeniferus,22,26,22,24,24,21,9,7
116,Gymnorhina tibicen,22,14,8,14,16,19,24,8
117,Fregata magnificans,22,17,7,27,21,25,24,7
118,Anas bahamensis,22,25,20,2,31,29,5,29
119,Alopochen aegyptiacus,22,13,9,4,30,3,8,13
120,Terathopius ecaudatus,22,31,25,3,4,18,1,5
121,Anas bahamensis,22,7,6,20,22,7,5,9
122,Ictonyx striatus,22,23,18,5,12,10,10,25
123,Cebus albifrons,22,16,31,1,22,8,30,11
124,Alcelaphus buselaphus caama,22,20,30,26,8,6,31,9
125,Platalea leucordia,22,24,25,12,25,2,14,17
126,Colobus guerza,22,5,9,4,15,15,16,16
127,Cereopsis novaehollandiae,22,3,14,5,9,16,5,30
128,Melursus ursinus,22,10,9,20,31,18,31,21
129,Pseudalopex gymnocercus,22,8,19,16,21,30,5,5
130,Phalacrocorax niger,22,18,27,3,4,20,9,24
131,Varanus salvator,22,7,1,31,20,4,18,9
132,Ursus americanus,22,8,28,25,11,6,3,8
133,unavailable,22,11,5,24,14,1,19,6
134,Macropus agilis,22,21,21,12,20,16,6,4
135,Varanus salvator,22,7,17,17,15,3,27,1
136,Gopherus agassizii,22,10,3,7,27,28,29,5
